idea_id,design_id,stage,epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
idea021,design002,1,10,376.6433,207.4166,720.2247,441.9443,474.7823,881.5221
idea021,design002,1,15,356.4566,199.1515,675.8337,440.7784,476.1713,843.7173
idea021,design002,1,20,350.1966,197.1028,661.0232,439.4087,475.4281,832.3017
idea021,design003,1,5,440.7204,217.7786,893.3599,443.3628,474.3466,1033.9838
idea021,design003,1,10,357.5460,209.9371,657.2367,440.8374,473.5322,832.0727
idea021,design003,1,15,341.3461,199.4484,629.4415,440.1567,476.4372,802.5135
idea021,design003,1,20,335.9429,197.6812,616.6561,438.6071,475.4709,796.9660
idea022,design001,1,5,485.3643,220.6078,1022.9002,439.5066,472.8876,1150.0934
idea022,design001,1,10,407.4423,200.4739,827.6509,435.6701,473.3861,982.8967
idea022,design001,1,15,375.1874,194.8304,741.3668,434.3588,473.9680,904.5346
idea022,design001,1,20,367.5457,193.8342,720.2327,434.0107,473.9397,890.8501
idea022,design002,1,5,546.1587,244.7665,1158.0763,464.9764,495.3850,1272.2661
idea022,design002,1,10,441.8597,199.8805,933.1508,444.4738,488.6021,1068.9619
idea022,design002,1,15,418.9542,192.8747,877.9639,436.3279,481.2813,1020.5855
idea022,design002,1,20,413.5035,191.5156,864.2061,436.2277,481.3982,1009.4711
idea022,design003,1,5,561.3805,239.5607,1214.7723,464.3305,495.4909,1329.8229
idea022,design003,1,10,469.8374,204.1819,1009.1985,442.5268,483.4413,1137.5552
idea022,design003,1,15,458.4946,192.0364,999.4855,435.1948,480.2992,1120.1015
idea022,design003,1,20,446.9563,189.8003,969.0608,432.3933,477.6698,1097.4647
idea023,design001,1,5,436.5640,227.9153,860.1842,457.7253,514.3394,1023.4648
idea023,design001,1,10,347.3761,194.4348,657.8933,421.4720,473.1993,823.5756
idea023,design001,1,15,331.5754,185.0979,628.9692,414.6672,459.8415,803.1319
idea023,design001,1,20,323.7505,183.4321,608.6395,414.1833,459.1618,785.8725
idea023,design002,1,5,488.6326,230.5537,1012.6110,456.2533,508.5294,1161.5845
idea023,design002,1,10,385.3293,199.7589,762.0933,426.3858,472.8598,916.9921
idea023,design002,1,15,357.7349,192.7014,692.8031,420.8540,461.7098,856.5415
idea023,design002,1,20,350.8889,191.4750,674.5473,420.0349,460.5074,842.3547
idea023,design003,1,5,486.7804,260.6158,945.9629,489.7598,533.5019,1113.3130
idea023,design003,1,10,389.9028,209.2275,756.7285,431.1181,477.6944,902.3466
idea023,design003,1,15,357.4527,197.7028,681.7933,420.3330,463.7643,843.7340
idea023,design003,1,20,349.1900,195.8221,660.5735,418.8447,462.2048,827.2161
idea024,design001,1,5,450.7422,219.8301,919.5637,443.6093,474.0422,1057.7075
idea024,design001,1,10,365.5980,209.5573,682.4080,442.4438,475.4933,857.1279
idea024,design001,1,15,342.4175,196.2880,639.1048,441.3308,478.2160,817.6593
idea024,design001,1,20,337.8643,194.9109,628.1029,440.3831,477.4697,814.6602
idea024,design002,1,5,510.1538,312.3825,911.6893,466.6537,471.6188,1051.1792
idea024,design002,1,10,477.1877,296.6709,843.6917,457.8721,461.1014,1001.7861
idea024,design002,1,15,443.8930,295.3131,745.5553,456.8692,460.9538,919.2669
idea024,design002,1,20,433.2349,294.8807,714.1359,457.8892,462.4382,893.4153
idea024,design003,1,5,428.5229,218.1844,855.5739,441.9753,473.0390,1001.1206
idea024,design003,1,10,368.7321,200.6698,709.9495,436.1927,471.3556,876.5419
idea024,design003,1,15,361.9305,197.9910,694.7774,437.6008,473.0544,862.2968
idea024,design003,1,20,357.6911,196.7509,684.4486,436.5727,472.0254,856.5980
idea025,design001,1,5,442.4815,216.3686,901.5593,442.0574,473.0953,1044.5309
idea025,design001,1,10,368.2340,198.5759,712.6913,438.9941,475.7581,880.1100
idea025,design001,1,15,363.8050,195.2090,706.1060,439.4031,477.5088,871.8519
idea025,design001,1,20,349.2541,193.8223,664.8278,438.5216,477.0393,839.7855
idea025,design002,1,5,406.3572,215.9316,792.9788,441.3696,474.9050,949.3035
idea025,design002,1,10,367.9647,198.8815,711.2550,437.7860,474.9159,883.7825
idea025,design002,1,15,357.2325,194.2238,688.1897,437.8932,476.8515,856.6184
idea025,design002,1,20,338.8688,192.3219,636.4034,436.6271,476.3984,819.9458
idea025,design003,1,5,436.9422,217.9662,881.5298,444.1364,474.8321,1019.2225
idea025,design003,1,10,359.5896,206.9642,669.4654,441.3989,475.4803,841.8230
idea025,design003,1,15,353.0919,197.5625,668.8636,439.2246,476.0932,837.6420
idea025,design003,1,20,333.8613,195.8062,614.1550,437.9102,475.2151,800.3234
idea026,design001,1,5,452.5282,208.8649,947.2385,436.8201,478.9534,1080.3683
idea026,design001,1,10,373.7585,181.5452,764.0098,430.7152,486.0586,921.2912
idea026,design001,1,15,363.4350,180.3908,735.0703,431.1711,487.7688,892.4669
idea026,design001,1,20,358.0998,179.5585,720.5928,430.8021,487.6520,880.8988
idea026,design002,1,5,435.6791,211.3218,891.1925,439.8480,476.6901,1028.1775
idea026,design002,1,10,387.7475,190.6961,787.8216,435.7928,480.7443,934.8443
idea026,design002,1,20,363.8115,185.9110,725.0035,433.8618,479.9419,885.2315
idea026,design003,1,5,497.0283,211.8545,1076.0173,438.2747,480.0248,1197.7965
idea026,design003,1,10,399.9506,184.1823,838.0255,431.5414,485.6641,985.5877
idea026,design003,1,15,386.6170,181.7299,802.6000,431.7475,487.7781,949.5242
idea026,design003,1,20,379.2120,181.5491,780.5277,431.9416,487.9898,934.7084
idea027,design001,1,5,486.5370,217.3175,1033.1341,446.0947,483.7054,1173.3048
idea027,design001,1,10,400.5119,203.1657,801.1846,444.3685,486.3399,960.7255
idea027,design001,1,15,368.3989,196.4460,717.5153,442.9856,487.3056,890.8173
idea027,design001,1,20,367.1687,195.6359,715.4320,442.8715,487.6400,888.5974
idea027,design002,1,5,476.1555,222.4245,991.3064,451.6713,490.6796,1137.8810
idea027,design002,1,10,383.3358,197.0103,761.6331,443.7128,488.7500,929.0695
idea027,design002,1,15,370.1956,193.4299,729.0837,444.0916,490.6542,904.4211
idea027,design002,1,20,361.2640,192.4362,704.0355,443.8499,490.9394,885.1907
idea027,design003,1,5,508.4475,215.0896,1104.0528,437.2957,475.2673,1219.2580
idea027,design003,1,10,427.8256,198.3247,893.7819,434.9517,477.6594,1035.8838
idea027,design003,1,15,410.5447,194.1057,849.9815,432.5780,476.7995,997.5893
idea027,design003,1,20,402.5104,193.1039,827.6690,432.1973,476.6822,977.8500
idea028,design001,1,5,426.0401,201.4008,882.1259,430.9487,485.4319,1016.0266
idea028,design001,1,10,368.2336,190.1367,729.8244,425.9233,483.6368,896.0887
idea028,design001,1,15,345.7228,187.2015,667.5691,426.3784,485.7915,844.1464
idea028,design001,1,20,340.4984,186.3772,653.4113,426.1095,486.3045,836.0546
idea028,design002,1,5,410.0188,199.4953,837.4453,429.9604,485.5754,977.9240
